Unnamed: 0,situation,emotion
12844,My brand of PASTA!,confident
12845,My dog died 10 minutes ago. I am so saddened.,sad
12846,"I have a huge fear of heights, so when I went on a plane for the first time, I was the most scared I had ever been",terrified
12847,I am going on vacation next week.  I cant wait.  I really need time off from work,excited
12848,"I just moved my friend into his new house.  It's really nice, and I want it",jealous
12849,I cheated on a test once and everyone found out.  I was embarassed that everyone knew about it,ashamed
12850,I went to the park all by myself yesterday. My friends ditched me.,lonely
12851,"I am upset, my dog passed away.",sad
12852,I am shocked Tiger Woods is playing golf again.,surprised
12853,"I went to a baby shower for my friend the other day, only to realize I bought a present for a baby boy and not a baby girl! I couldn't believe how stupid I felt.",embarrassed
12854,"My dad came to my birthday party, I wasn't expecting it.",surprised
12855,My cat pooped on the carpet. I am so mad.,furious
12856,"I ate at Mcdonalds, I was sick after.",disgusted
12857,I am super into exercising.,jealous
12858,My dog pooped on the carpet. I am so mad.,furious
12859,I like taking my grandma out to lunch and dinner sometimes.  It helps get her out of the house and gives her something to do,caring
12860,I am very happy with my house.,content
12861,I really try my best to help my mother.,caring
12862,my friend helped me move,grateful
12863,I tried so hard to get a 34 on the ACT for a scholarship. Instead I got a 33 twice...,devastated
12864,My friend was going to help me do something but they ditched,disappointed
12865,"Tomorrow we're supposed to go to an amusement park. I haven't been to one in a long time, so I'm excited.",anticipating
12866,I went to a super scary haunted house recently! It was so realistic and the characters were so well hidden. I was so scared!,terrified
12867,Taking kids to supermarket.,embarrassed
12868,Recently my best friend who is also my coworker got a promotion at work. I want to feel happy for him but I felt I Was better qualified for the position than he is.,jealous
12869,I really hate when I have to wake up early to go to classes. It makes me so annoyed.,angry
12870,I accidentally made a mistake with my bank account a while account. I managed to try to withdraw too much money and I got hit with a $25 overdraft fee. It was quite frustrating and annoying!,sad
12871,I moved into a rural area recently and during the night time I hear some weird noises outside. It's pretty freaky.,terrified
12872,A few weeks ago I went to a baseball game. My team was doing pretty badly but in the end they managed to pull it together and win the game. I was so ectastic!,joyful
12873,I'm getting married in two months. I'm pretty excited for this big moment.,anticipating
12874,I have an older sister that is always comparing our kids as if her kids are smarter.,annoyed
12875,My dog got out and I haven't found her yet. I hope she's ok,sad
12876,I was irritated when I find out that my girlfried was cheating on me,disgusted
12877,"I just changed jobs, and was afraid that the change my influence my work/life balance negatively. Once I was in the new job, I found that they were more willing than my previous employer to work with my schedule.",grateful
12878,I regularly put in orders for items online and as per the usual have them shipped instead of picking up at the store. The waiting and anticipation for the items is bad sometimes I check tracking even though I know its otw,anticipating
12879,I lost my favorite jacket and I can't find it. It was quite expensive and not easily replaced,angry
12880,I love the Dallas Cowboys.  I am optimistic they will do well this season.,hopeful
12881,I am having a hard time with someone who keeps repeating the same mistakes. It's hard to see they keep going back to the same path.,sad
12882,I used Youtube to fix my fridge.,confident
12883,Someone spread rumor about my hubby. But I didn't believe them. he loves me more than anyone in this world. ,trusting
12884,"Yesterday while swimming at my moms pool in the backyard, my toddler took her bottle of tanning oil and unscrewed the cap and poured it all over the lanai. I was so mad, that stuff is not cheap and can stain things easily. ",furious
12885,I can't wait for my new laptop to arrive.,excited
12886,The backyard makes me miss my dog.,sentimental
12887,i was upset when i saw someone had put a dent in my car door,furious
12888,I lost over 10k in an investment.,guilty
12889,All my friends are getting married and I don't even have a partner. I wish I was like them,jealous
12890,My friend of 4 years ended last weekend.,sad
12891,I've been exercising consistently for 3 months now. Been feeling so much better.,anticipating
12892,i felt all alone this weekend,lonely
12893,I graudated with a mechanical engineering degree in may.,proud
12894,i felt scared walking home alone the other day.,afraid
12895,"I am feeling a bit of trepidation about today actually. My partner was being a bit rude and he can explode easy, so it's hard",apprehensive
12896,I got an award for being employee of the month.,proud
12897,I could not get my lawn mower to work. I have to order a bunch of parts now and it's a bummer!,disappointed
12898,I was disappointed when i got fired from a project in my company,disappointed
12899,My second vacuum I ordered from a company works good but the metal pole is not working right. Super upset as this is the second issue I have had.,disappointed
12900,first time making a cake. it turned out pretty well.,surprised
12901,I was leaning back in my chair at work and fell over.,embarrassed
12902,"Girl I asked out said ""no""",disappointed
12903,Yesterday snake came into our garden. I was in extreme fear about it.,terrified
12904,My friend got to go golfing over the weekend. I was a little envious,jealous
12905,"My Grandma made me a big thing of her homemade potato salad yesterday! I am so grateful, it's hard for me to have time to cook during the work week. I LOVE it when others cook for me!",surprised
12906,I recently got accepted into a prestigious film school.,excited
12907,I have a new sweet dog who was abused and her little puppy. I am happy about it as it's nice to have a little baby around again to love on.,content
12908,Someone threw a bunch of empty beer cans in the bed of my truck.,annoyed
12909,"My new ceiling fan is arriving this afternoon, cant wait",anticipating
12910,A couple weeks ago I went and got a free smoothie at Tropical Smoothie. I love their smoothies.,joyful
12911,Felt a bit alone this weekend. But everytime I felt that way..I remembered the bad times and I didn't feel so bad about living alone.,lonely
12912,"I went to the beach for the first time since I was young, and it brought back many memories. I was suprised how clearly I could remember things from the first beach trip.",nostalgic
12913,Tired of people going 50-60 down my side street. There are kids and animals here and the police never do anything about these wreckless drivers.,furious
12914,"I woke up to the sound of my phone ringing. I hate the sound of my phone going off, it stresses me out. It was bill collectors too, although for the wrong person.",anxious
12915,So hard seeing homeless people around,sad
12916,My apartment had been flooded by my neighbor who lives a floor above me. What an irresponsible person,disgusted
12917,"Dealing with a partner away at therapy is tough. Especially when they go through some hard things and you don't know how they will react and if they will take it out on you, leave etc.",anxious
12918,I got a thank you note from a co-worker.,surprised
12919,my neighbor dog keeps barking for no reason,annoyed
12920,i was cared to walk home alone the other day,terrified
12921,i was impressed when i saw lebron leave the cavs a second time,impressed
12922,I slept in this morning. I was more than okay with that,content
12923,This weekend my friends and I are heading to the casino. I'm wanting to hit the jackpot and come home with more money than I started!,hopeful
12924,I was surprised when I found out my close friend won the lottery.,surprised
12925,"I was trying to procure a loan to buy a car, my credit is very average and I don't have many assets so I am getting very nervous hoping to land it.",anticipating
12926,It was an unusually slow monday today.,surprised
12927,"I'd started a new medication the night before this incident happened. I got hit with side effects while I was at Panera Bread with my best friend. Suddenly, I couldn't sit upright any more. I was laying on the floor and had no idea how I'd gotten there. Everybody was rushing to help, or staring at me, or pointing at me. I have social phobia. ",terrified
12928,My daughter made us late on the first day of school.. I hate being late,angry
12929,it was horrible seeing a dog get hit by a car the other day,disgusted
12930,Someone stole my trash can.,furious
12931,I saw someone playing an entire song by themselves at a talent show once.,impressed
12932,I tried a keto pizza yesterday and it was awful. It tastes like a THICK corn flour tortilla. Just really gross! Sad as it cost a pretty penny even on clearance,disappointed
12933,"I was up most of the night again. A new mom who is quite obsessive with her baby and she keeps accidentally sitting on him and making him squeal, so I had to get up a lot and move hime",annoyed
12934,I just took the bar exam this morning. I know I did well.,confident
12935,"I got a random box of diapers the other day, the size and brand that my son wears. It was just delivered to my house and had no return address or anything. I don't know who sent them but it was very nice of them!",surprised
12936,I was going to the work training last week. I was also hoping to achieve a promotion from the training.,anticipating
12937,today when i got to go shopping ,joyful
12938,i was scared to walk home last night,afraid
12939,I lied to my boss,ashamed
12940,"A bit upset I was up all night again, not my dogs fault so much as she is just a new momma.",angry
12941,i was disappointed when i couldnt go home,sad
12942,A girl asked me out.,surprised
12943,My favorite steak and cheese place is closing down.,sad
12944,when we had a huge storm the other day ,terrified
12945,I'm graduating in the Winter and already have a job lined up.,prepared
12946,I was pretty lost when my dad died a few years ago. I just felt scared at the time,afraid
12947,Gonna hit the buffet after work. It's gonna be good!,excited
12948,I miss my dog every time I see a dog.,sentimental
12949,Today when my daughter behaved being out of the house. ,impressed
12950,It was a happy weekend. I got to go kayaking with friends,joyful
12951,"After 8 years of dating, we're getting married.",content
12952,i was scared to walk home alone last week,terrified
12953,I have a presentation soon. I always get nervous talking in front of people.,anxious
12954,"to have a life, to be alive, to have a home. ",grateful
12955,My friend bought a audi r8 last week. I am happy for him but deep down i am thinking how did he manage to buy that,jealous
12956,I was on a date and apparently had a booger hanging out the whole time.,embarrassed
12957,when i got home and my shampoo and conditioner wasnt in my bag! ,annoyed
12958,No one's at the office. Never been alone here before.,lonely
12959,I felt pretty good going to the gym this morning. I had a plan of what to workout and it worked,confident
12960,I helped my neighbor mow her lawn. I barely have the energy to mow my own.,content
12961,i felt bad when i couldnt get the gift my daughter wanted,guilty
12962,I passed all of my classes this summer with A's I have never done that before. It felt great.,proud
12963,"At work I have to take out the trash, and today one of the bags busted on the way to the dumpster. It was so bad! The smell was terrible.",disgusted
12964,My oldest son got the A honor roll last year and I was super proud.,proud
12965,I got a letter in the mail today from a friend. I was shocked in a good way,surprised
12966,When i see beggars on the road i feel so pity and i just want to do something for them,sad
12967,i was angry when i saw someone had put a dent in my car door,angry
12968,i was mad when i saw someone put a dent in my car door,furious
12969,My colleagues gave me bachelor party at a location i did not expected it to happen,surprised
12970,"My cat got spooked by something and jumped over my half wall that I had a candle sitting on top of, and knocked the burning candle onto the ground shattering the glass everywhere and liquid wax flew all over. I dont even know how Im going to clean this up!",furious
12971,"I had an interview at a job I was excited about, but they never responded after the interview so I don't think I got it.",disappointed
12972,i was a little sad when i couldnt get off from work last week,disappointed
12973,My tattoo artist really made my new tattoo pop. I trust him now more than ever,impressed
12974,My nephews came over a few days ago and it reminded me of my good childhood days.,nostalgic
12975,My kids start school next week. We are all ready and have all their supplies.,prepared
12976,i felt bad when i couldnt get off of work on time,guilty
12977,to have a roof over my head. ,grateful
12978,I was recently walking down the road and I saw somebody drive past and throw a bunch of rubbish out of their window. I don't understand why people do it.,disgusted
12979,I'll be getting a raise and a promotion in Feb.,hopeful
12980,i was excited when i got approved for my vacation,joyful
12981,i was crushed when i saw someone had taken my lunch from the fridge at work,devastated
12982,I was doing some exercising earlier today. When I made it to the gym there were so many people in there!,annoyed
12983,I love my job. I have been at the same place for several years now. I am very pleased with the way things are going.,content
12984,I didn't receive a cashback offer on purchasing the item. I contacted them but not responding. They enraged me!,furious
12985,"When my brother was suspended from high school awhile back, it made me sick.",disgusted
12986,I always like to be ready before a trip.,prepared
12987,I almost hit a dog running down the road last night. It was scary,terrified
12988, I was driving to work today. I was very late and then a slow driver got in front of me. They made me even more late!,angry
12989,i trusting with my friend,trusting
12990,I'm really glad I have the family I do.,grateful
12991,The time my teacher gave me the wrong marks back for a test. It was a math test.,furious
12992,"When I was a kid, my sister would wear a fake werewolf mask and pop up in the window to scare me.",surprised
12993,i was happy when i got approved for a vacation,joyful
12994,I can't wait to eat my sub.,anticipating
12995,The time I broke my dads favorite glass while playing. I ended up blaming my dog.,ashamed
12996,"I'm afraid to check my messages. The last line I saw from my friend is ""we broke up"".",apprehensive
12997,I got approved to adopt a dog!,excited
12998,I found out recently that my sister is having a baby.,surprised
12999,My youngest daughter had a cold.,caring
13000,i was crushed when i didnt get approved for a day off last week,devastated
13001,"My friend's wife got into an accident. She can't walk anymore, and he's still with her 20 years later since then.",faithful
13002,I'm working hard to pay off all my debts.,hopeful
13003,Getting accepted to the school of my dreams. I'm studying business administration.,joyful
13004,"My brother graduated a few years ago, and now he's ready to buy a home.",impressed
13005,My coworkers and I were each tasked with individual projects and whoever performed the best would get a promotion. My coworker killed it and got the promotion. I really wish I was as good as her.,jealous
13006,I'm changing careers. Going to cooking school.,confident
13007,i was upset when i saw someone had dented my door,annoyed
13008,I wish the weekend had been longer.,disappointed
13009,My friend bought me a $400 knife.,surprised
13010,I cant wait for my trip next week!,excited
13011,waiting on a package to come ,anticipating
13012,My girlfriend will be working abroad for 4 years. She's the only female in her team.,trusting
13013,I've been teaching my dog how to run an obstacle course and I think he finally has it down! He beat his old speed yesterday and had zero distractions.,proud
13014,I forgot my lunch and my wallet at home this morning.,angry
13015,"I let my health insurance coverage lapse and don't have any insurance right now. Figured I'd be okay since I'm young and haven't gotten sick or hurt in years. Just yesterday, someone smacked into me and my leg hurts a ton now.",anxious
13016,I cheated on my math final. I feel pretty bad about it right now.,guilty
13017,when i had everything ready to go for the first day at work ,prepared
13018,"It feels so good to finally have a girlfriend who isn't paranoid that I'm going to cheat on her all the time. My girlfriend lets me hang out with friends whenever I want, because she trusts that I'd never hurt her.",faithful
13019,The time my mom got me a puppy. It was a husky!,excited
13020,I had just applied to a few of my dream schools. Harvard and Yale would be the best.,hopeful
13021,i am hoping to get next week off from work,hopeful
13022,when i spilled my coffee ,disappointed
13023,This parrot can hold full conversations. Only problem is it keeps calling its owner fat while he's eating.,impressed
13024,"My mom, who's in her 60s, lost her best friend today, who passed away. She was one of the only friends my mother had, and I feel sad for her since she lost a connection to her childhood and past. She seems really lonely.",devastated
13025,In science class I had to dissect a frog. All the blood was gross.,disgusted
13026,I'm happy with my marriage.,proud
13027,I lost my lucky pen. I worried for it.,sad
13028,when i got an extra bonus from work ,grateful
13029,I can't believe how well my boyfriend did in cooking class. He was a lost soul before,impressed
13030,"While commuting to office today, one man stared at me. I become unease I notice him.",embarrassed
13031,I just put an offer in on a new house and I am waiting back for an answer on whether or not its mine.,hopeful
13032,My wife was sick recently and I spent the day taking care of her.,caring
13033,i went into that interview knowing everythng they threw at me,prepared
13034,I'll be getting a raise in February.,hopeful
13035,"I'm a powerlifter so I focus most of my time exercising lifting weights. A friend of mine just recently introduced me into marathon running and boy, I didn't expect to like it as much as I do.",surprised
13036,I went to the store but couldn't afford the food that I wanted. I decided to go ahead and steal some things.,ashamed
13037,I left my adult son home for a few days and just came back to a sink full of gross old dishes. The whole house is a mess!,disgusted
13038,i shouldnt have trusted my brother to take care of my dog,trusting
13039,I have to build a dresser later.  I am sure I can do it well.,confident
13040,My life is going great. There is nothing I would really change right now.,content
13041,I found an old burned CD in my room. It was from the early 2000's. I brought back some good memories.,nostalgic
13042,It was really hard to say goodbye to everyone at the end of the family reunion. It had been so long since we were all together.,sad
13043,I didn't prepare for my exam yet.  I anxious about my tomorrow's exam.,afraid
13044,My Pet parrot died yesterday.,sad
13045,When my father started his degree at university. He went back after 25 years.,proud
13046,"My neighbors dog does not shut up at night and it's agitating me. I've been avoiding bringing it up to him, but it's getting to me n ow.",annoyed
13047,I studied hard for my math final test. It was calculus.,prepared
13048,I have a family reunion coming up soon. I can't wait to see my relatives that I hadn't seen in a while.,excited
13049,I was expecting a person to show up at my meeting. They are not very nice!,anxious
13050,"I was supposed to study for a big test in college, and I made a big deal about passing it. I didn't study as hard as I should've and failed.",guilty
13051,I had a speech I had to deliver at work in front of a big prospective client. I studied and memorized the speech for weeks and went over it thoroughly.,prepared
13052,"My girlfriend and I recently broke up.  For the first time in 5 years, I have been in a  house all alone every single night.  ",lonely
13053,The new WoW expansion comes out today.,joyful
13054,"Boy did I have a wardrobe malfunction once. Back in junior high I was at a school dance. Some friends and I were twirling around on the dance floor when I lost my footing, my dress flew up and everyone could see my underwear! ",embarrassed
13055,I go a new car and was happy.,excited
13056,I was pissed to see a dent in my car door the other day,annoyed
13057,A friend got a cake as a surprise for my birthday!,surprised
13058, loved taking care of my sisters pet,caring
13059,Got a bag of candy I'm polishing off. Diabetes be damned.,content
13060,"Was able to pick up an additional scholarship to help with college tuition for this upcoming semester.. I guess any little bit helps, considering how much student loan debt I'm already in.",joyful
13061,My friend is being catfished. He's even said he will marry her. She's sending him money she really needs. ,disgusted
13062,My girlfriend lost a lot of weight.,anxious
13063,I am not sure that I want to apply for a transfer with my job. I would make more money but I would have to move,apprehensive
13064,Just a few more hours until the work shift is over.,anticipating
13065,I walked around for half the day with my pants unzipped before I realized it.,embarrassed
13066,"We went to a southern soul food restaurant and it was really loud and crowded, but the food was really cheap and tasty and the service was really good.",impressed
13067,There is a new puppy in my home. I very much excited to see him. My husband bought it for me.,surprised
13068,I lost my friend's dog.,guilty
13069,"Ever since I moved away from home, I've had trouble meeting people and making friends",lonely
13070,"My brother and his wife just had his first baby, I am over the moon for them!",joyful
13071,I do not like walking my kids to school. There are way too many hills. I wish t car worked,angry
13072,We just lost everything in our basement in a flood.  We had torrential rain all week long..  ,devastated
13073,I've been taking care of my daughter who has a cold today.,caring
13074,I used to go to this Starbucks with horrible service.  So I was always ready with a free drink or sandwich in mind in case they forgot my second order.  Worked every time,prepared
13075,I felt bad for my friend. They were going through hard times so I payed for their dinner,caring
13076,"I am deep cleaning my kitchen as fall arrives and wow, I pulled out my fridge and found this caked black dust bunnies and grease gunk.",disgusted
13077,I got a promotion at work recently,proud
13078,My daughter win a medal for dancing in a competition. I glad to see her as a dancer.,proud
13079,My daughter fell on the sidewalk yesterday and skinned her knee pretty bad.,caring
13080,When I hear gun shots last night when I was sleeping. I felt pretty scared,terrified
13081,When I walk into a room full of people I can usually feel all eyes on me but it doesn't faze me...especially if I just got a clean fade,confident
13082,I miss getting my nails done. I feel some kind of way when I seefreshly manicured nails,jealous
13083,I went to see one of my friends play basketball on his team and he was really good.,impressed
13084,"I had an accident that broke one of my ankles and recovery has been rough. Recently, I broke my record for the longest walk I've taken since the accident.",proud
13085,I felt pretty interested after hearing someone speak at church yesterday. They knew what they were talking about,impressed
13086,When my friend made the hockey team. He worked so hard.,impressed
13087,My daughter just had her first piano lesson today.,proud
13088,I felt pretty good meeting my friends out for beers last night. I just felt cocky for some reason,confident
13089,When I'm in a nightclub and I see a bunch of cute girls I try not to start hitting on all of them at the same time...I wait til the one who's been dancing the craziest and most sensual finishes dancing then I start chatting her up after,anticipating
13090,The burrito I baught from the vending machine was expired.,disgusted
13091,"When a strange, or even one I know, female flirts with my husband.",jealous
13092,My kids are now officially gone to college and my husband is away on a 4 day business trip.  Its so quiet.,lonely
13093,"I've been waiting all day for this maintenance guy to come. They guaranteed me he would come within this 3-hour window, and that it would be today. Looks like it'll be neither. Love wasting time!",furious
13094,My youngest sister has started to drive so I've been accompanying her since she has her learners permit. Riding with her is a real test of nerves! ,terrified
13095,My dad loved this time of year. So always makes me think of him and miss him,nostalgic
13096,I just put in some rental applications for space to have for a family reunion. I got a great deal and I just know my family's going to be so happy.,confident
13097,I just found the most honest car mechanic.,trusting
13098,I get off work in 45 minutes. I can't wait.,anticipating
13099,I expect my son to get pass in the exam. But he didn't. I feel bad for him.,disappointed
13100,"My in-laws just suddenly showed up yesterday and said they were staying for the week.  I had no warning at all but I guess they were trying to make it fun, ha ha.",surprised
13101,"There's this tree outside of my apartment, and the way it's illuminated it looks like the silouette of a person, which startles me sometimes.",afraid
13102,I graudated with a chemistry degree this year.,proud
13103,Someone at work threw my lunch away today.,angry
13104,"Sometimes my boyfriend cooks, and the food tastes pretty gross",disgusted
13105,"Wildfire blew a lot of smoke over our city, it was hard to see on the road",terrified
13106,My manager at work told me that he has good news for me and to meet him in his office tomorrow when I come in. I really think it's about a promotion I've been expecting.,hopeful
13107,I homeschool and am used to schooling one child but now I started 2 kids in school this year and I'm not sure if I'll be able to juggle it well.,apprehensive
13108,A dog spoiled my garden. It becomes mess now. I was extremely angry about it.,furious
13109,"Once at a swimming competition, I had a wardrobe malfunction in front of a lot of people",embarrassed
13110,I went to a buffet the other day and they kicked me out for eating too much.,ashamed
13111,I got a spot bonus at work today.,surprised
13112,When my kids are too quiet.,terrified
13113,my test being paid for when i couldnt afford it,grateful
13114,I was skipping rocks with my son the other day. That's something my grandfather used to do with me. It made me think back on the times I had with him.,sentimental
13115,One more month and I get to go on a vacation to the beach!  Its been 5 years so I'm chomping at the bit!  Yay!,excited
13116,I am pretty happy that we are taking a trip at the end of the month. I am going to need it,joyful
13117,i love the rain,content
13118,I dropped my phone in the toilet and I didn't have insurance on it. It was a pretty expensive phone too.,sad
13119,I dropped a bowl of mashed potatoes and it smashed all over the floor,sad
13120,'m preparing for marathon,confident
13121,moving to a new city,lonely
13122,I wrote my exams well and waiting for the good results. ,hopeful
13123,"I'm not really sure what I'm supposed to be doing with my life right now, but I'm trying to at least get back home.",apprehensive
13124,"I just deep fried a whole turkey all by myself, first try! I can't wait to share the feast with the rest of my family they're gonna be so excited.",joyful
13125,Three of my friends are due to have babies and I still haven't been able to get pregnant.  I don't understand how they get pregnant so easily and nothing is wrong with me.,jealous
13126,I'm looking forward to going home and relaxing on the couch.,content
13127,My son peed on me the other night.,disgusted
13128,The time my friend made the basketball team and I didn't.,jealous
13129,I noticed my nephew wearing an outfit that I had given to my sister after my son grew out of it years ago. It reminded me of when my son was his age.,nostalgic
13130,"I just met my neighbor today. I have to go on a business trip, and they offered to watch my pets while I'm gone. They seem nice and I'm a little nervous but I'm going to take them up for it.",trusting
13131,One time I cried at work because I was really stressed about a project,ashamed
13132,I like to volunteer at the local animal shelter,caring
13133,My mom and dad went to abroad. So my sister is helping me to go school and she is taking care of everything in our home.,caring
13134,I have to go to jury duty later this week. I am pretty nervous about it,anxious
13135,I had to go to the hospital last month when i got really sick and I was charged 400 dollars more than they said it would be.  I am ticked off to say the least.,angry
13136,"I'm cooking a big dinner tonight for a lot of people on short notice. I went to the store, got everything I need, and I think I'm ready for them.",prepared
13137,My Husky was out in my backyard thats been her yard for over 2 years now and she randomly jumped over the 4ft chain link fence. I had no idea that was possible but she saw a stupid duck and I guess needed to chase after it,impressed
13138,I just started learning to rock climb at a local indoor climbing facility near me and finally got to the top of the tallest wall!,proud
13139,I had 2 cups of ice cream. but I lied to my mom that i didn't have it.,guilty
13140,I have to take a foreign language for college this semester. I'm not really looking forward to it because I feel like I'm going to embarrass myself trying to speak the language in front of everyone when we have to talk,afraid
13141,I'm looking forward to the upcoming weekend.,anticipating
13142,"Really not looking forward to taking my public speech class in college this semester. I feel like I'm going to get up there and vomit all over myself. Last time I had to talk in front of a group of people, I was so nervous, people were laughing because my knees were visibly shaking.",terrified
13143,My cat sat on my bag right after she came out of her litter box,furious
13144,I am leaving for vacation at the end of the week. Its all I can think about right now.,excited
13145,My daughter needed a computer for school.  My dad ended up giving her a Surface Pro.,grateful
13146,I'm going to start investing in the stock market and attempt to make money day trading. I've done a lot of research to get ready for this.,prepared
13147,"I'm long-distance with my girlfriend right now, where she lives almost 1,000 miles away. I live on the east coast, she lives in the midwest. She has a good job, and I'll just be graduating college, so she's established. She's determined that I need to move to her, but I don't feel great about the idea.",apprehensive
13148,I'm an aspiring actor and I have yet to land any large roles. I've been grinding for two years now.,disappointed
13149,I was able to go buy a dog bed today and a few others things I needed/wanted. I love that! I haven't always been able to do that.,content
13150,This time of year takes me back to when I was a kid. I always looked forward to football with my dad,nostalgic
13151,"Have to do a long road trip tomorrow to visit an ailing family member, but the scary part is it's set to be thunderstorming for a big stretch of the drive. I've never done well driving in the rain",afraid
13152,I was much surprised to receive a hike in my salary.,excited
13153,I'm a bit upset that summer is almost over.,sad
13154,Before my final math exam. I needed to score a 90%.,anxious
13155,"I smoked a cigarette today, after two months with out smoking.  I feel bad.",guilty
13156,Taking care of my friends cat while they went on vacation. ,caring
13157,"Last night on the way home from work I stopped at a gas station to grab a snack. While I was there, the place was robbed at gun point and I watched the entire thing unfold.",terrified
13158,when my brother got the car i wanted,jealous
13159,I'm jealous with people that have gyms in their homes.  I would work out every day if I had one.,jealous
13160,Dude cut me off in traffic turning left in too a store then had the nerve to beep back at me. By the way there was NO one behind me for a mile. ARG!,angry
13161,I have a dentist appointment next week. I am not looking forward to it. I don't want to go!,anticipating
13162,I'm really stressed that I'll have enough money to cover the bills this month.  I might need a loan.,anxious
13163,Super happy to have a new puppy in the house. It's been a VERY long time since I have taken care of a newborn puppy!,excited
13164,Sending my two youngest kids to a new school!,hopeful
13165,I bought my partner some socks today. He hasn't been that good lately but he is trying to be better and I know he needs socks.,caring
13166,Sometimes I watch ahead on a tv show if there's a cliffhanger. I should wait to watch it with my boyfriend but I don't haha,guilty
13167,So happy I got my momma dog a new bed today. I had to go to a few different stores. They normally have a ton at the stores I go too but somehow when I need one they are out!,joyful
13168,I broke my son's favorite toy,guilty
13169,I'm pretty upset I got a flat on the way to work today.  I was late and I'm down 200 dollars.,angry
13170,waiting for my new car to arrive,anxious
13171,Proud of my son for scoring two goals in his soccer game this weekend.  He's very athletic,proud
13172,My mom was arrested when I was a kid. It was pretty shameful on me and my family,embarrassed
13173,I knew it was going to be sunny today. I just had a good feeling,faithful
13174,I was happy to go on a trip for my birthday,joyful
13175,The day I stole a few dinosaur toys from the local dollar store. I brought them back home to play with.,guilty
13176,Irs called me,surprised
13177,"At work, a new coworker keep looking at me in weird way. I feel very uncomfortable.",annoyed
13178,It was a bit of a rough weekend. Partner is working hard at therapy most days but he isn't even close to being okay yet. I just don't know if I could ever trust him again.,sad
13179,I recently volunteered at a homeless shelter. It's been one of the most rewarding things I've ever done.,caring
13180,"I got my mom some temporary teeth. It is insanely expensive to get one tooth put in, so this should help her until then.",caring
13181,I was given a promotion at work today.,proud
13182,I'm excited to play the new World of Warcraft expansion today! It should be really fun!,excited
13183,I just got word that I did not get the job I really wanted. I thought the interview went well too.,disappointed
13184,I have big two month trip coming up. Im getting a little nervous about going. ,apprehensive
13185,I really like a new perfume that I've tried but it's so expensive I don't know if I should get it,apprehensive
13186,I'm really hoping I enjoy this new World of Warcraft expansion as much as I've been excepting to!,hopeful
13187,My manager has taken my coworker for a work trip to New York. I was also suppose to go with them.,sad
13188,Once I saw 2 men playing basketball and one of them hit a long range 3 pointer ,impressed
13189,A manager I do not like was working at the store I love today. It makes it a bit frustrating to shop there.,annoyed
13190,I've been training for about 6 years now and I have a better physique now that I'm 30 years old than I did when I was 20!,proud
13191,I keep seeing a poor little black kitty running around outside every night. You can tell they are hungry. He won't come near me and my house can't hold another cat.,sad
13192,I'm surprised with how clean the house was after I came home from my trip.  My wife is the best!,surprised
13193,I'm moving to a new city and starting a new job in an industry I've never worked in. I'm both excited and nervous at the same time.,anxious
13194,A girl tried to kiss me at a party but I refrained. I am in a relationship already.,faithful
13195,"When I was a kid, once or twice they had these people come to the school to sell yoyos. I saved up to buy a really expensive fancy one, and low and behold; it was just a yoyo.",disappointed
13196,I just had a great job interview. I think I might get this job. I really want it.,hopeful
13197,I'm jealous with people who have a washer and dryer.  Going to the laundromat stinks!,jealous
13198,MY daughter knows that I am not paying attention to her yet she is still talking.,annoyed
13199,I'm happy when I eat gourmet ice cream,joyful
13200,"I'm so grateful for video games, they have brought so much joy to my life in stressful moments in life.",grateful
13201,"I have social anxiety and today while paying for my groceries, I gave the wrong amount of money to the cashier multiple times in a row.",ashamed
13202,I am feeling good about my money making skills. I am powering through and working on normal work then working on my business the rest of the hours in my day.,confident
13203,"I'm pretty good right now in life, couldn't ask for anything more.  I'm very low maintenance. ",content
13204,"Our new baby newborn pup here is getting bigger everyday! I didn't know if he would make it, so it's really sweet and happy to see!",joyful
13205,Listening to old music on youtube. The early 2000s had the best music.,nostalgic
13206,My two youngest kids going to school for the first time tomorrow!,anxious
13207,When I opened up to someone and let them in my heart. She abused it.,trusting
13208,The new wow expansion just launched.,excited
13209,I was sitting in class and people talking behind me made me unable to hear the teacher.,annoyed
13210,I went to a restaurant's bathroom today for lunch and it was absolutely disgusting.  Looked like it hadn't been cleaned in months.,disgusted
13211,I have so much to clean and get ready before summer ends! It's making me a bit nervous as there is so much to do and so little time!,anxious
13212,I'm always nervous about public speaking,anxious
13213,The time my friend got a new pair of shoes that I had been wanting. They were jordans.,jealous
13214,I did really well this quarter at work. I should be getting a bonus because of exceeding my goals.,hopeful
13215,My husband got promoted to Lieutenant in the US Navy,proud
13216,My moms full coverage insurance won't pay for ANY dental work- So she has had to save $500 per tooth to get them pulled and it's over $800 for each NEW tooth.,furious
13217,My husband is in the Military and goes away from long periods of time. I've never though about cheating.,faithful
13218,My friend got a bouquet from her boyfriend the other day,jealous
13219,My family left on a trip out of the country today.  I am all alone for two weeks.,lonely
13220,I'm excited for school to start and for the kids to get out of my hair for at least some of the day!,excited
13221,Having this new baby puppy around reminds me of how fragile life is. I remember when my other animals who have passed were babies. Circle of life.,sentimental
13222,"I'm disappointed with my new tablet I got, it bugs and restarts like every 30 minutes.  Might need to take it back.",disappointed
