Unnamed: 0,situation,emotion,labels
8880,My mom dropped off food for me out of the blue.,sentimental,"['Calm', 'Distress']"
8881,I have a big tennis match coming up tomorrow. I trained hard though so I'm sure I'll win.,confident,['Calm']
8882,I don't have much with my girlfriends anymore. They always do couples tings and I'm single,lonely,"['Distress', 'Helplessness']"
8883,i was pissed when my moviepass card didnt work,furious,"['Aggression', 'Coercion', 'Panic']"
8884,every time a christmas story comes out on tv i have to watch it ,nostalgic,"['Calm', 'Distress']"
8885,I am so ready for this weekend. The kids are leaving and I get to do absolutely nothing,anxious,"['Anxiety', 'Panic']"
8886,"Last month, I got C in one of the important exams. I was every upset on myself.",disappointed,"['Distress', 'Helplessness']"
8887,I was driving home at night and the car heading towards me would not turn off their brights! Damn near made me miss the curve coming up.,angry,"['Aggression', 'Coercion']"
8888,"I am hosting a dinner party for friends tomorrow, and I think I have everything ready.",prepared,"['Calm', 'Urgency']"
8889,My son is still up. He always does this when I have to get up early,angry,"['Aggression', 'Coercion']"
8890,I'm taking my kids to Six Flags this weekend! It'll be a surprise for them!,excited,['Urgency']
8891,I got a foreclosure notice from the bank. I am preparing myself to move out from my home.,anticipating,"['Urgency', 'Anxiety']"
8892,I saved the tickets to the first concert I ever went to. I still have them,sentimental,"['Calm', 'Distress']"
8893,when you go to a restaurant and they did not mess up your order,joyful,['Calm']
8894,I am worried about my cat. She is acting kind of strange. I hope she doesn't have an illness.,anxious,"['Anxiety', 'Panic']"
8895,There's thunderstorms in the forecast tonight. I hope it doesn't get too bad.,terrified,"['Fear', 'Panic']"
8896,My friends all moved away to college. I'm sure I won't see them soon.,lonely,"['Distress', 'Helplessness']"
8897,I had a pizza at target today. It was terrible,disgusted,"['Aggression', 'Distress']"
8898,when i look at pics of me and my brothers,nostalgic,"['Calm', 'Distress']"
8899,I know I should go to bed. I am too excited for tomorrow. I feel bad,ashamed,"['Distress', 'Helplessness']"
8900,I've been working pretty hard lately. I plan to pay off a credit card this weekend,confident,['Calm']
8901,I'm really stoked to go the movies this weekend with some friends.,excited,['Urgency']
8902,I can't believe my daughter went to bed at a decent time. I guess she reallu understands that school is dtarting again,surprised,"['Urgency', 'Anxiety']"
8903,I called in to work when I wasn't sick. Then I felt bad for leaving them shorthanded.,guilty,"['Distress', 'Helplessness']"
8904,Apparently I forgot to wear a belt today and I think that for half of the day everyone could see my underwear!!!,embarrassed,"['Distress', 'Helplessness']"
8905,every time i get payed ,joyful,['Calm']
8906,My parents are coming down for Christmas! What a great gift!,joyful,['Calm']
8907,I a little afraid to meet my boyfriends parents. I don't think we are meant to be anyway,apprehensive,"['Anxiety', 'Fear']"
8908,I rent with arnb to a young couple and I found my home totally destroyed. They even took a dump in the living room.,devastated,"['Distress', 'Helplessness', 'Panic']"
8909,I saw a black cat the other day. I am convinced I will have something bad happen to me now. I always have bad luck.,terrified,"['Fear', 'Panic']"
8910,I was trying to get some work done but people kept interrupting me with questions.,annoyed,['Aggression']
8911,Every time I open a soda. One of my greedy children steal it from me.,angry,"['Aggression', 'Coercion']"
8912,I have to go to the doctor tomorrow. I hope I get a clean bill of health.,anxious,"['Anxiety', 'Panic']"
8913,I love telling my kids stories about when I was younger. As if they don't know the differences between our generations,nostalgic,"['Calm', 'Distress']"
8914,I pulled out in front of someone and caused an accident today. I felt really bad about wrecking their car.,guilty,"['Distress', 'Helplessness']"
8915,I have to call my landlord about being late on the rent. I really don't want to have this conversation.,apprehensive,"['Anxiety', 'Fear']"
8916,I accidentally tucked my skirt into my pantyhose at work today! Everyone say my underwear!,embarrassed,"['Distress', 'Helplessness']"
8917,I went shopping today and tried on a cute dress. I walked out to look in the big mirror and the dress wasn't pulled down all the way.,embarrassed,"['Distress', 'Helplessness']"
8918,I was so devastated when my pet parakeet died. Polly was such a good bird to me. I will miss her so much.,sad,"['Distress', 'Helplessness']"
8919,I can't believe I am finally going on a real date after 2 years,surprised,"['Urgency', 'Anxiety']"
8920,I found my old favorite toy in my closet.,nostalgic,"['Calm', 'Distress']"
8921,My dad was supposed to com and hang out with my kids and I this week. He didn't show up again.,disappointed,"['Distress', 'Helplessness']"
8922,I'm thinking of trying out a dating app. I don't know how I feel about meeting strangers from the internet though,apprehensive,"['Anxiety', 'Fear']"
8923,I was watching a TV show and the couple were getting married. It was so sweet that it made me cry.,sad,"['Distress', 'Helplessness']"
8924,Days like today remind me of my childhood at the beach. We would go there every summer.,sentimental,"['Calm', 'Distress']"
8925,My neighbor broke her  leg. I checked in on her everyday until she was healed helping in whatever way she needed me.,caring,['Calm']
8926,I was hoping to get a bonus at work today. I didn't get it though.,disappointed,"['Distress', 'Helplessness']"
8927,I once caught my father kissing someone other than my mom!,angry,"['Aggression', 'Coercion']"
8928,I missed the bus today. I ended up being late for school.,sad,"['Distress', 'Helplessness']"
8929,I got that horrible song stuck in my head. I think it's called Baby Shark.,annoyed,['Aggression']
8930,when my uncle died,sentimental,"['Calm', 'Distress']"
8931,My friend passed her certication test on the first try. I was pretty impressed,impressed,['Calm']
8932,my favorite Toy from my childhood broke.,devastated,"['Distress', 'Helplessness', 'Panic']"
8933,I feel like I will be in this apartment forever. I really want a house,sad,"['Distress', 'Helplessness']"
8934,I was going out on a blind date and just wasn't sure if it was a good idea or not.,apprehensive,"['Anxiety', 'Fear']"
8935,I'm about to ride a roller coaster for the first time! I hope I don't die!,terrified,"['Fear', 'Panic']"
8936,I can't wait for the final season of game of thrones. IT is the best show ever,excited,['Urgency']
8937,My ex has a new girlfriend. She's so ugly and stupid.,jealous,"['Coercion', 'Distress']"
8938,the boy in the striped pijamas bumbed me out ,sad,"['Distress', 'Helplessness']"
8939,I am sending my daughter to school with extra supplies this year. I know sometimes there are kids that don't have everything,caring,['Calm']
8940,These kids keep riding their bikes through my lawn! They've killed every one of my flowers!,angry,"['Aggression', 'Coercion']"
8941,I just got my grades back from my exam last week and I did way better than I thought I would.,impressed,['Calm']
8942,My sister slapped me. I was annoyed with her. ,angry,"['Aggression', 'Coercion']"
8943,I was in a roomful of people but felt like I was by myself.,lonely,"['Distress', 'Helplessness']"
8944,My roommate ate all of my food today. I didn't have any lunch.,angry,"['Aggression', 'Coercion']"
8945,My son got his driver license today! He studied so hard for the test!,proud,['Calm']
8946,A box of honey buns doesnt last here.  All because of me,ashamed,"['Distress', 'Helplessness']"
8947,I made the Dean's list again this year. I worked very hard to get it.,proud,['Calm']
8948,"A good co-worker friend is leaving the company, so I am bummed about it.",sad,"['Distress', 'Helplessness']"
8949,I'm meeting a new guy for dinner tonight. I hope everything goes well.,anxious,"['Anxiety', 'Panic']"
8950,I am so happy I can afford every my kids and I need. I wish we could splurge more often though.,grateful,['Calm']
8951,The guy in line in front of me just did a black flip for no reason. It looked good.,impressed,['Calm']
8952,I get so sad watching st jude commercials. I always watch them though.,sad,"['Distress', 'Helplessness']"
8953,Someone was killed outside of my apartment once. IT was a hard thing to see,devastated,"['Distress', 'Helplessness', 'Panic']"
8954,I was driving home from work late at night and noticed a car following me. They made every turn that I did. I was all alone and this was before cell phones.,afraid,"['Fear', 'Anxiety']"
8955,I was going to get to cables boxes so my kids could have one in their room but I didn't I can't believe they are always watching my tv.,surprised,"['Urgency', 'Anxiety']"
8956,I can't belive my ex has been paying child support. . He ahdn't done that in years.,surprised,"['Urgency', 'Anxiety']"
8957,I worked one job where I was always the last person to leave the building. I hated going into the empty parking lot by myself.,afraid,"['Fear', 'Anxiety']"
8958,I used to pretend to be asleep when my ex came home. I hated hearing about his job.,guilty,"['Distress', 'Helplessness']"
8959,For once I didnt forget anything on this camping trip,prepared,"['Calm', 'Urgency']"
8960,I can't wait for our next reunion. We are going on a cruise.,excited,['Urgency']
8961,I was having a party so I started getting ready for it two weeks in advance. I wanted to be ready.,prepared,"['Calm', 'Urgency']"
8962,I bought some jeans today and brought them home to find out the zipper was broken.,angry,"['Aggression', 'Coercion']"
8963,"On christmas morning last year, i got everything i wanted.",joyful,['Calm']
8964,I am doing so well.  I can't believe I made it working and going to school during the summer,proud,['Calm']
8965,I never won the lottery.,disappointed,"['Distress', 'Helplessness']"
8966,I am watching black sheep. I used to watch this movie with my cousins all the time,nostalgic,"['Calm', 'Distress']"
8967,I wouldnt mind my son sleeping in my bed if he didn't climb over me all night. I cant sleep like that,annoyed,['Aggression']
8968,I once drank all the soda in the house and left none for my dad.,guilty,"['Distress', 'Helplessness']"
8969,Another on of my friends is getting married. Always a bridesmaid never a bride,jealous,"['Coercion', 'Distress']"
8970,I could break my bones at any time!,apprehensive,"['Anxiety', 'Fear']"
8971,I ordered the wrong size of  dress that was arriving the day I needed to wear it,embarrassed,"['Distress', 'Helplessness']"
8972,Someone stole my shoes!,furious,"['Aggression', 'Coercion', 'Panic']"
8973,My fiancee brought me dinner while I was stuck at work late last night. I was so happy.,grateful,['Calm']
8974,I am so scared I am going to mess up my speech in class next week,terrified,"['Fear', 'Panic']"
8975,I thought I would get some good sleep tonigh. Nope. My toddlers are refusing to go to bed.,angry,"['Aggression', 'Coercion']"
8976,"my mom was always working, i was alone alot.",lonely,"['Distress', 'Helplessness']"
8977,I stare at my kids while they are alseep. Thats when they are on their best behavior,sentimental,"['Calm', 'Distress']"
8978,I stay away from frogs!,terrified,"['Fear', 'Panic']"
8979,I can't believe I am in my last year of college. What a l ong road.,surprised,"['Urgency', 'Anxiety']"
8980,I never stop working out.,prepared,"['Calm', 'Urgency']"
8981,I am so happy for date night. We had to cancel the last few.,excited,['Urgency']
8982,I was relieved to find my sack lunch.,grateful,['Calm']
8983,I woke up last night and my son was peeing  in my floor!,furious,"['Aggression', 'Coercion', 'Panic']"
8984,I am glad I stuck with my job. I knew my supervisor would last for long,proud,['Calm']
8985,When I think about my life I feel like I finally have it together,content,['Calm']
8986,I stepped on a snake walking down the street.,surprised,"['Urgency', 'Anxiety']"
8987,My dogs love to lay on me!,joyful,['Calm']
8988,I was eating out last week and found several hairs in my food.,disgusted,"['Aggression', 'Distress']"
8989,I was on my first blind date!,anxious,"['Anxiety', 'Panic']"
8990,WHy are gas prices so high!,furious,"['Aggression', 'Coercion', 'Panic']"
8991,When I was looking at baby pictures of my family.,sentimental,"['Calm', 'Distress']"
8992,My little brother baseball team won the whole tournament!,proud,['Calm']
8993,My partner took my credit card and purchased a bag for herself without even asking me,angry,"['Aggression', 'Coercion']"
8994,I watched my little brother poop his pants,disgusted,"['Aggression', 'Distress']"
8995,i just went on a vacation and i was very happy i needed it,joyful,['Calm']
8996,Why does no one ever pay me!,angry,"['Aggression', 'Coercion']"
8997,Everyone took awesome vacations this summer. I was too busy working,jealous,"['Coercion', 'Distress']"
8998,Is he a shee?,surprised,"['Urgency', 'Anxiety']"
8999,I watch scary movies with my daughter sometimes. I pretend to watch. I am too frightened.,terrified,"['Fear', 'Panic']"
9000,I used to babysit my little brother all the time.,caring,['Calm']
9001,Some one crashed into my car,angry,"['Aggression', 'Coercion']"
9002,I run and hide from thunderstorms.,terrified,"['Fear', 'Panic']"
9003,"I swear my new house is haunted, Im alwasy hearing footsteps.",terrified,"['Fear', 'Panic']"
9004,My son scold me in public place. I feel shame about it.,ashamed,"['Distress', 'Helplessness']"
9005,We won the big match we had been preparing for.,devastated,"['Distress', 'Helplessness', 'Panic']"
9006,I can not believe my friend died in a car accident last week.,devastated,"['Distress', 'Helplessness', 'Panic']"
9007,my neighbor is always throwing poop over the fence,annoyed,['Aggression']
9008,Looking through my old picture albums really had me thinking of the past. It made me reminisce about the days gone by. ,nostalgic,"['Calm', 'Distress']"
9009,I always get questions wrong in class!,embarrassed,"['Distress', 'Helplessness']"
9010,My dad gave me this gold necklace a while ago. I love it and wear it everyday.,sentimental,"['Calm', 'Distress']"
9011,Me and this girl on Tinder were going really steady. Then out of the blue she flat out ghosted me.,disappointed,"['Distress', 'Helplessness']"
9012,Two days left before school starts.,excited,['Urgency']
9013,"My best friend came to visit me for two weeks, I hadnt seen her in years.",joyful,['Calm']
9014,I stayed in watching netflix for hours today,content,['Calm']
9015,My friend had to cancel plans the other day,sad,"['Distress', 'Helplessness']"
9016,I moved to a new city. I have no friends here.,lonely,"['Distress', 'Helplessness']"
9017,I found twenty dollars in my pants!,excited,['Urgency']
9018,I am so glad I woke up every day.,grateful,['Calm']
9019,I once had to clean out my grandfathers old closet.,disgusted,"['Aggression', 'Distress']"
9020,This headache needs to go away.,annoyed,['Aggression']
9021,I am sitting alone in my apartment. I had a friend over earlier but now I am all alone.,lonely,"['Distress', 'Helplessness']"
9022,Why would anyone ever eat pees?,disgusted,"['Aggression', 'Distress']"
9023,My friend really seemed to be going off the deep end. Then he got a girlfriend and a job and really turned his life around.,impressed,['Calm']
9024,I knew i would pass my math test that i studied for,confident,['Calm']
9025,I saw a funnel cloud for the first time as a child. I was beyond scared.,terrified,"['Fear', 'Panic']"
9026,I keep every penny I find because I know my grandmother sent them from heaven.,sentimental,"['Calm', 'Distress']"
9027,when my dog died,lonely,"['Distress', 'Helplessness']"
9028,A tornado went threw my house.,devastated,"['Distress', 'Helplessness', 'Panic']"
9029,I am ok with the job I currently have.,content,['Calm']
9030,I am upset I didn't get my scholarship.,sad,"['Distress', 'Helplessness']"
9031,I am very proud of the pizza I made last night. It was a detroit style. Lovely.,proud,['Calm']
9032,I was let down when my friends didn't come to my birthday party.,disappointed,"['Distress', 'Helplessness']"
9033,getting raw food,disgusted,"['Aggression', 'Distress']"
9034,I am upset that the US is trying to ban our right to bear arms.,angry,"['Aggression', 'Coercion']"
9035,Going to the movies this weekend with some friends and really looking forward to it.,anticipating,"['Urgency', 'Anxiety']"
9036,Someone cut me off in traffic today,angry,"['Aggression', 'Coercion']"
9037,First grade was great for me.,nostalgic,"['Calm', 'Distress']"
9038,I am jealous when I see how much my colleague earns. He seems to do less work than me but earns way more money!,jealous,"['Coercion', 'Distress']"
9039,I am so mad that I got a speeding ticket.,angry,"['Aggression', 'Coercion']"
9040,I was surprised to get offered an interview at a job IO thought I wasn't qualified for.,surprised,"['Urgency', 'Anxiety']"
9041,I cried when I found out my uncle passed away.,sad,"['Distress', 'Helplessness']"
9042,I have a test next week,anxious,"['Anxiety', 'Panic']"
9043,I feel hopful that I will get a new job soon.,hopeful,"['Calm', 'Urgency']"
9044,I got asked if I wanted to go to this party in a shady part of town. I went anyway and it was a great time!,apprehensive,"['Anxiety', 'Fear']"
9045,There was a possibility that we could get snow and ice so I stocked up on supplies. I also gassed up my car. I wanted to be ready just in case.,prepared,"['Calm', 'Urgency']"
9046,I felt disgusted when  was watching a TV program last night. The presenter was eating live squid.,disgusted,"['Aggression', 'Distress']"
9047,I really was let down when my Dad forgot to pick me up from school.,disappointed,"['Distress', 'Helplessness']"
9048,Sometime scraped my car a couple days ago and I have no idea who.,furious,"['Aggression', 'Coercion', 'Panic']"
9049,I can not even think about losing any more money!,angry,"['Aggression', 'Coercion']"
9050,I know that the US will qualify for the next World Cup.,confident,['Calm']
9051,I pooed in my pants.,embarrassed,"['Distress', 'Helplessness']"
9052,I felt terrified when a guy pulled a knife on me in Amsterdam once.,terrified,"['Fear', 'Panic']"
9053,waiting for a package to arrive,anxious,"['Anxiety', 'Panic']"
9054,Who knew I was 7 foot tall!,surprised,"['Urgency', 'Anxiety']"
9055,I am ready for the Foreigner reunion concert.,anxious,"['Anxiety', 'Panic']"
9056,I just reconnected with a cousin of mine I used to hang out with when I was younger.,sentimental,"['Calm', 'Distress']"
9057,I felt sad when I watched a show last night. It was about school shootings in Texas.,sad,"['Distress', 'Helplessness']"
9058,I do not like anything with wings.,afraid,"['Fear', 'Anxiety']"
9059,I thanked my friend for buying m e customized pen ,grateful,['Calm']
9060,I am shocked that CNN is still in business.,surprised,"['Urgency', 'Anxiety']"
9061,I felt very content recently. My Aunt sent e a parcel full of candy and chocolate and the sun was shining.,content,['Calm']
9062,"The company i work for, is currently undergoing down-sizing and there are multiple potential candidates that might leave",anxious,"['Anxiety', 'Panic']"
9063,I was in the middle of a speech and I farted. I turned red and ran out of the room.,embarrassed,"['Distress', 'Helplessness']"
9064,I made an amazing pizza yesterday. Iwas very proud of it.,proud,['Calm']
9065,I am afraid that the Russians are going to take over the USA.,afraid,"['Fear', 'Anxiety']"
9066,I was astonished to see an old friend in the shopping mall,surprised,"['Urgency', 'Anxiety']"
9067,I am ready for Labor Day.,prepared,"['Calm', 'Urgency']"
9068,I would never cheat on a partner. It goes against everything I believe in.,faithful,['Calm']
9069,kids first day of school,excited,['Urgency']
9070,Sometimes I feel lonely. I am single and live alone.,lonely,"['Distress', 'Helplessness']"
9071,I can not wait for my best friend to visit from Germany.,anxious,"['Anxiety', 'Panic']"
9072,My fiancee will be home soon and I am planning a surprise dinner tonight.,prepared,"['Calm', 'Urgency']"
9073,I am confident Donald Trump will Make America Great Again.,hopeful,"['Calm', 'Urgency']"
9074,I was surprised to receive a parcel yesterday. It was from my Aunt.,surprised,"['Urgency', 'Anxiety']"
9075,I am worried I will not be able to go to my fathers birthday party.,afraid,"['Fear', 'Anxiety']"
9076,I am excited for the new football season to satrt,excited,['Urgency']
9077,when somone wont stop talking,annoyed,['Aggression']
9078,"I get to go to the beach this weekend, so I am very much looking forward to it.",excited,['Urgency']
9079,A guy in a TV programme last night ate a live squid!,disgusted,"['Aggression', 'Distress']"
9080,I felt angry in the supermarket this week. The staff were ignoring the self serve checkouts.,angry,"['Aggression', 'Coercion']"
9081,I am ready for UFC 229.,anticipating,"['Urgency', 'Anxiety']"
9082,I am ready for my vacation in late August.,anticipating,"['Urgency', 'Anxiety']"
9083,I am ashamed to say that I've just eaten a whole packet of cookies,ashamed,"['Distress', 'Helplessness']"
9084,nothing compares to how happy today,excited,['Urgency']
9085,I am sure that I will be able to get a raise from my job.,confident,['Calm']
9086,I was disappointed once when I had been promised a boat trip but then couldn't go because nobody had a license to drive the boat.,disappointed,"['Distress', 'Helplessness']"
9087,i ordered something online and didnt get what was ordered,disappointed,"['Distress', 'Helplessness']"
9088,I am ready for my fathers retirement party.,prepared,"['Calm', 'Urgency']"
9089,I was surprised to receive a parcel yesterday,surprised,"['Urgency', 'Anxiety']"
9090,I cried when I heard Top Gun 2 was being made.,sad,"['Distress', 'Helplessness']"
9091,I am content right now. The sun is shining.,content,['Calm']
9092,I'm really feeling good about my work evaluations and wishing for the best.,hopeful,"['Calm', 'Urgency']"
9093,my friend died,sad,"['Distress', 'Helplessness']"
9094,I was embarrassed on my first date.,embarrassed,"['Distress', 'Helplessness']"
9095,bought and built my first pc,excited,['Urgency']
9096,I am trying to be extra prepared for my next interview.,prepared,"['Calm', 'Urgency']"
9097,I got annoyed because I missed a delivery. I now need to go and collect it,annoyed,['Aggression']
9098,baby son pooped all over the bed,disgusted,"['Aggression', 'Distress']"
9099,I feel ashamed for eating an entire pack of cookies,anticipating,"['Urgency', 'Anxiety']"
9100,I am ashamed that I ate a whole pack of cookies,ashamed,"['Distress', 'Helplessness']"
9101,I aws impressed to learn that my mother won a competition. It was for fruit and veg adn she won 17 categories.,impressed,['Calm']
9102,taking kid to first day of school,anxious,"['Anxiety', 'Panic']"
9103,I am quite mad at how things are going at work,furious,"['Aggression', 'Coercion', 'Panic']"
9104,I looked after my baby cousin last week.,caring,['Calm']
9105,I was proud of a pizza I made yesterday,proud,['Calm']
9106,The waiter spilled coffee on my $1000 suit.,angry,"['Aggression', 'Coercion']"
9107,i thought someone was breaking i,afraid,"['Fear', 'Anxiety']"
9108,I am anxious as I just put my washign away and I have an odd sock left over.,anxious,"['Anxiety', 'Panic']"
9109,I got a nice haircut and shaved my beard.,confident,['Calm']
9110,I am jealous as my boss earns lots more money than me. He seems to be less qualified and do less work.,jealous,"['Coercion', 'Distress']"
9111,I had to walk through a shady part of town.,afraid,"['Fear', 'Anxiety']"
9112,I am jealous of my boss who gets paid much more than me. And he does less work.,jealous,"['Coercion', 'Distress']"
9113,I let my Tesla stay on autopilot the entire trip.,faithful,['Calm']
9114,The happiest gift I have ever received is a woman that is standing by my side no matter how things go,faithful,['Calm']
9115,I was surprised to received a parcel from my Aunt today,surprised,"['Urgency', 'Anxiety']"
9116,i enjoyed taking  care of my sisters pet bearded dragon,caring,['Calm']
9117,No one came to my marriage.,lonely,"['Distress', 'Helplessness']"
9118,I was embarrassed on my first date. ,embarrassed,"['Distress', 'Helplessness']"
9119,cheating on my wife,ashamed,"['Distress', 'Helplessness']"
9120,I am confident that I will find a job soon,confident,['Calm']
9121,My new Tesla drove on autopilot perfectly.,impressed,['Calm']
9122,I went into that interviewing knowing i could answer any question they threw at me,prepared,"['Calm', 'Urgency']"
9123,I was grateful when my friend paid me back moeny I owed him,grateful,['Calm']
9124,I am jealous of my boss. He gets paid much more than me for less work,jealous,"['Coercion', 'Distress']"
9125,I stole a candy and was called out on it.,ashamed,"['Distress', 'Helplessness']"
9126,moving to a new town not knowing anyone,lonely,"['Distress', 'Helplessness']"
9127,I was disgusted by a show last night. The guy ate a live squid,disgusted,"['Aggression', 'Distress']"
9128,My new Porsche has all sorts of features!,impressed,['Calm']
9129,i was irked when i saw a dent in my car door,annoyed,['Aggression']
9130,Why don't I have a woman by my side at 46? ,lonely,"['Distress', 'Helplessness']"
9131,I was thankful for the job i was offered,grateful,['Calm']
9132,I was watching a show last night. It was about a school shooting in texas.,sad,"['Distress', 'Helplessness']"
9133,I felt bad when I saw a guy holding a jack knife ,terrified,"['Fear', 'Panic']"
9134,selling a family item,ashamed,"['Distress', 'Helplessness']"
9135,I heard noises in the night. ,afraid,"['Fear', 'Anxiety']"
9136,Today is my last day working. I am going to miss my coworkers.,sad,"['Distress', 'Helplessness']"
9137,I farted in front of a lady in the train.,embarrassed,"['Distress', 'Helplessness']"
9138,i was irked when i saw a dent in my car door the other day,annoyed,['Aggression']
9139,My first date was terrible. It was very awkward.,embarrassed,"['Distress', 'Helplessness']"
9140,I found it difficult to throw away my old cutlery collection.,sentimental,"['Calm', 'Distress']"
9141,I am looking forward to  a good match today. I have worked hard ,anticipating,"['Urgency', 'Anxiety']"
9142,going to see my favorite band,excited,['Urgency']
9143,The sun is shining and I have lots of chocolate,content,['Calm']
9144,i was upset when i saw my car door had a huge dent in it,furious,"['Aggression', 'Coercion', 'Panic']"
9145,My son dropped out of college ,disappointed,"['Distress', 'Helplessness']"
9146,The level of attention to details in the new BMW sedans blows me away,impressed,['Calm']
9147,I had a difficult job interview. I need a new job as I am unemployed.,apprehensive,"['Anxiety', 'Fear']"
9148,My wife is such a caring woman,caring,['Calm']
9149,"Despite leaving to work with enough time, the train was out of service and delayed for about 30 minutes",annoyed,['Aggression']
9150,I thought I saw a ghost last night.,afraid,"['Fear', 'Anxiety']"
9151,I awoke to a tapping a tthe window last night,afraid,"['Fear', 'Anxiety']"
9152,I knew i shouldnt have trusted my brother with my dog!,trusting,['Calm']
9153,I felt so bored last weekend,lonely,"['Distress', 'Helplessness']"
9154,talking to someone who wasnt talking to me,embarrassed,"['Distress', 'Helplessness']"
9155,My son's new house is very big and luxurious ,impressed,['Calm']
9156,Why should I feel sorry for myself when I gave it my all,ashamed,"['Distress', 'Helplessness']"
9157,I had to go on a business trip... I miss my family!,lonely,"['Distress', 'Helplessness']"
9158,I cant wait to see what my wife will get me for my birthday!,anticipating,"['Urgency', 'Anxiety']"
9159,"""I knew i shouldnt have trusted my brother with my dog!",trusting,['Calm']
9160,My son got a scholarship for college.,proud,['Calm']
9161,My dad told some thing,surprised,"['Urgency', 'Anxiety']"
9162,I applied for a different position at work.... I'm eager to hear back,hopeful,"['Calm', 'Urgency']"
9163,"Last month, I had to give a presentation at a big research convention. I was really nervous!",apprehensive,"['Anxiety', 'Fear']"
9164,I'm supposed to be eating healthy but last night I ate way too many cookies,ashamed,"['Distress', 'Helplessness']"
9165,I dropped an expensive glass of wine at dinner with my parents.,embarrassed,"['Distress', 'Helplessness']"
9166,Why do people get so mad at each other for no reason?,angry,"['Aggression', 'Coercion']"
9167,giving my friend a key to my house,trusting,['Calm']
9168,I have no friends at my new job.,lonely,"['Distress', 'Helplessness']"
9169,I thought I saw an intruder in my room last week.,afraid,"['Fear', 'Anxiety']"
9170,i was pissed when i saw my dog ran away from home,furious,"['Aggression', 'Coercion', 'Panic']"
9171,"Up extra early today, I couldn't sleep. I am starting a new job today.",excited,['Urgency']
9172,I am very thankful to be alive today,grateful,['Calm']
9173,I haven't been able to find      my phone charger in 2 days.... grrrrr!,annoyed,['Aggression']
9174,I feel extremely happy about my wife's promotion,proud,['Calm']
9175,My daughter doesnt attend her classes,disappointed,"['Distress', 'Helplessness']"
9176,i was hoping to win the lottery last night,hopeful,"['Calm', 'Urgency']"
9177,I had a box chocolate when my doctor told me not to.,guilty,"['Distress', 'Helplessness']"
9178,My friend just bought a new Porsche.  I am really envious of him.,jealous,"['Coercion', 'Distress']"
9179,Woke up this morning to find my neighbor's dog tearing up my vegetable garden!,furious,"['Aggression', 'Coercion', 'Panic']"
9180,hit on friend wife,ashamed,"['Distress', 'Helplessness']"
9181,Someone bumped the back of my car while they were talking on their phone. That really made me angry.,furious,"['Aggression', 'Coercion', 'Panic']"
9182,I received my quaterly bonus at work... it came at the perfect time!,grateful,['Calm']
9183,parent passed awy,sad,"['Distress', 'Helplessness']"
9184,I have been taking speech therapy classes.,confident,['Calm']
9185,I pass my driving test and knew I would never have to take lessons again! ,grateful,['Calm']
9186,"I can't complain about my girlfriend's weight, I buy all the groceries in the house",guilty,"['Distress', 'Helplessness']"
9187,I am finding it difficult to sell my old car.,sentimental,"['Calm', 'Distress']"
9188,"I can't wait for the delivery man to arrive.  I ordered a huge 70"" television.",anticipating,"['Urgency', 'Anxiety']"
9189,"My husband had to go out of town for work, I already miss him!",lonely,"['Distress', 'Helplessness']"
9190,i thought someone was breaking in,afraid,"['Fear', 'Anxiety']"
9191,My neighbor grabbed my dog that was running in the street.  I am very thankful they did that.,grateful,['Calm']
9192,I woke up to something quite terrible this morning.  My vegetable garden has been ravaged through by some strange animal.,sad,"['Distress', 'Helplessness']"
9193,i cant wait for friday!!,excited,['Urgency']
9194,There was a tornado watch in my area yesterday.  I am glad I was ready for it.,prepared,"['Calm', 'Urgency']"
9195,I am sad ACDC will be touring this year.,disappointed,"['Distress', 'Helplessness']"
9196,"How bad can it get, I paid so much for my son's education and he still failed",embarrassed,"['Distress', 'Helplessness']"
9197,I kept hearing odd sounds at night... I think there is a racoon in the attic!,afraid,"['Fear', 'Anxiety']"
9198,i was ready for that job interview last week!,prepared,"['Calm', 'Urgency']"
9199,I have never been so afraid of anything more than death.,terrified,"['Fear', 'Panic']"
9200,I am so happy that I get to see Foreigner in concert next month.,joyful,['Calm']
9201,What does it take to have a woman that will stay till death ,faithful,['Calm']
9202,I forgot about wife's birthday.,guilty,"['Distress', 'Helplessness']"
9203,My husband dropped my favorite coffee mug this morning.... what a start of the day,furious,"['Aggression', 'Coercion', 'Panic']"
9204,I couldnt believe my friend bought a Porsche.,impressed,['Calm']
9205,My dog is having surgery on his leg.  I am confident he will recover.,hopeful,"['Calm', 'Urgency']"
9206,My neighbor never picks up after his dog.  It is so irritating to see.,annoyed,['Aggression']
9207,"I do not like being around large animals, especially bears.",terrified,"['Fear', 'Panic']"
9208,i was pissed when someone left the gate open and our dog ran away,furious,"['Aggression', 'Coercion', 'Panic']"
9209,having something stolen,furious,"['Aggression', 'Coercion', 'Panic']"
9210,I received a late birthday gift from a friend and it was exactly what I needed,grateful,['Calm']
9211,I ate dinner by myself again.  I hate being by myself all the time.,lonely,"['Distress', 'Helplessness']"
9212,i shouldnt have trusted my brother with my dog!,trusting,['Calm']
9213,A man was chasing after me because I did not give him money.  I was scared for my life.,afraid,"['Fear', 'Anxiety']"
9214,I was walking by my old house.,nostalgic,"['Calm', 'Distress']"
9215,"After a long day at work yesterday, I was quite surprised by a visit by my daughter last night.",surprised,"['Urgency', 'Anxiety']"
